CONTRACT_ID,CLIENT_TYPE_ID,AVG_EUROS_IMPORT,POWER_P1,HAS_GAS,HAS_SOLAR,ZIPCODE
7144,1,55.94,5250.00000,0,0,08034
4621,0,152.16,4100.00000,0,0,29650
6081,0,107.1,5250.00000,0,0,08032
5962,0,164.12,6150.00000,0,1,08032
1141,0,79.07,6150.00000,0,0,31008
6974,0,99.45,5050.00000,0,0,08020
6466,0,65.51,5050.00000,0,1,08275
3253,0,49.51,3950.00000,0,0,28017
4969,0,200.16,5050.00000,0,0,14005
5965,0,37.76,2950.00000,0,0,08003
4643,1,77.49,1650.00000,0,0,11520
5268,0,99.41,4050.00000,0,1,08207
5530,0,77.11,4100.00000,0,1,08207
444,0,99.28,2950.00000,0,0,26001
6806,0,43.89,3950.00000,0,0,08695
1879,0,49.6,2850.00000,0,0,31150
1467,0,80.46,4650.00000,0,1,46910
8918,0,86.65,3150.00000,0,1,15568
5068,0,65.18,4100.00000,0,0,50012
670,0,54.2,4100.00000,0,0,28010
6913,0,70.39,5250.00000,0,0,25220
4288,0,96.7,3150.00000,0,0,29003
1835,0,52.05,3950.00000,0,0,03130
1471,0,105.74,3650.00000,0,0,46100
3893,0,59.17,5250.00000,0,0,23710
2150,0,127.84,4100.00000,0,1,28200
7008,0,49.5,3950.00000,0,1,08026
1147,0,47.33,4100.00000,0,1,31008
2416,0,63.29,4100.00000,0,0,28250
1195,0,89.16,4100.00000,0,0,31001
8439,0,181.83,10650.00000,0,1,08504
4271,0,65,2950.00000,0,0,29006
909,0,96.16,5050.00000,0,1,28850
8741,0,79.36,4100.00000,0,0,38005
8081,0,94.92,4650.00000,0,0,43201
7894,0,48.85,3650.00000,0,0,08206
4402,1,31.35,5250.00000,0,0,18009
1209,0,47.38,3950.00000,0,1,31008
1590,0,61.6,3950.00000,0,0,46023
113,1,55.41,4100.00000,0,0,03540
4263,0,61.61,5846.00000,0,1,18014
1123,3,176.4,14550.00000,0,0,31014
6591,0,80.67,3950.00000,0,1,08904
7027,0,116.96,4100.00000,0,1,08034
7106,0,66.77,4100.00000,0,0,08035
1897,3,86.68,10550.00000,0,1,03007
3285,0,89.58,3850.00000,0,0,28032
614,0,68.82,3950.00000,0,0,28025
3190,0,136.73,5250.00000,0,0,28017
797,0,129.53,4100.00000,0,0,28028
648,0,95.68,5250.00000,0,1,28012
8500,0,203.23,6400.00000,0,1,07010
385,0,84.19,2950.00000,0,1,20005
6734,0,76.83,2375.00000,0,0,08906
8617,0,185.38,3650.00000,0,0,07198
1263,0,34.59,3950.00000,0,0,31015
6498,0,50.24,4100.00000,0,0,08903
2151,0,169.72,6400.00000,0,1,30579
2571,0,93.4,4100.00000,0,0,20014
6248,0,52.12,2950.00000,0,0,43850
8623,0,286.05,6400.00000,0,1,07200
5701,0,64.88,4050.00000,0,0,08015
2039,0,73.78,4650.00000,0,1,46185
3630,0,81.31,3450.00000,0,1,28038
4500,0,69.17,4100.00000,0,0,18100
4250,0,76.28,5050.00000,0,0,11204
6654,0,80.77,5050.00000,0,1,08904
3820,0,21.59,3950.00000,0,0,14710
7803,0,59.47,4100.00000,0,0,08840
5097,0,86.36,5250.00000,0,1,22700
7187,1,277.1,7050.00000,0,1,08037
3579,0,59.2,4100.00000,0,0,15949
5034,0,74.14,6400.00000,0,0,50005
434,0,45.55,4100.00000,0,0,26520
8573,0,46.52,5250.00000,0,0,07011
4592,0,177.25,4100.00000,0,0,29610
5425,0,79.37,4100.00000,0,0,08397
6772,0,52.88,2850.00000,0,1,08812
4598,1,57.85,5250.00000,0,0,29649
1303,0,65.78,3750.00000,0,1,31016
1796,0,654.19,14506.00000,0,1,48960
810,0,107.71,6150.00000,0,1,28016
2083,0,97.04,4100.00000,0,0,28039
484,0,141.73,5250.00000,0,1,28816
3025,0,126.97,4100.00000,0,0,28018
4830,0,80.49,4100.00000,0,0,18013
7714,0,71.26,5250.00000,0,0,08820
8624,0,127.36,6400.00000,0,1,07013
2658,0,48.93,4650.00000,0,1,19005
5503,0,57.91,4100.00000,0,1,08360
4409,0,26.07,2150.00000,0,0,18006
1851,0,335.94,10550.00000,0,1,28055
1455,0,83.97,4250.00000,0,0,46115
3228,0,104.62,5250.00000,0,0,28017
7107,0,124.14,5250.00000,0,0,08032
3315,0,82.88,5250.00000,0,0,13005
8229,0,132.98,5250.00000,0,1,08013
7186,0,56.33,5250.00000,0,1,08010
8257,0,107.69,5250.00000,0,0,08980
8195,0,133.51,11042.00000,0,1,17528
7800,0,84.21,3450.00000,0,0,08840
3508,0,55.01,4100.00000,0,1,45960
8855,0,50.55,5250.00000,0,0,36861
4058,0,53.77,2850.00000,0,0,41005
7530,0,136.24,6400.00000,0,0,08907
4217,1,217.52,14506.00000,0,0,21410
3179,0,183.07,6150.00000,0,1,28017
1231,3,133.22,14506.00000,0,1,31009
6768,0,29.97,4100.00000,0,0,43003
8580,0,83.47,5050.00000,0,0,07011
2287,0,34.39,4100.00000,0,0,05279
3830,0,176.38,6650.00000,0,1,14711
8009,0,128.93,6400.00000,0,1,17401
8202,0,53.58,4100.00000,0,0,25003
5994,0,46.51,5050.00000,0,0,08035
3757,0,182.82,6400.00000,0,0,33392
5191,0,168.27,5250.00000,0,0,50612
7394,0,94.73,5050.00000,0,0,50700
6735,1,57.45,3950.00000,0,0,08906
2025,0,105.71,5250.00000,0,0,20496
346,0,134.57,6150.00000,0,0,19171
1269,0,76,4100.00000,0,0,31014
2960,0,55.69,5250.00000,0,0,28027
4112,0,137.62,4650.00000,0,0,41920
7253,0,47.54,4100.00000,0,0,08006
6629,1,78.71,2950.00000,0,0,17538
3645,0,67.99,4100.00000,0,1,45217
3261,0,84.73,4100.00000,0,1,28032
7441,0,28.96,3250.00000,0,0,17252
8794,0,170.4,4750.00000,0,0,35110
7921,0,145.32,7250.00000,0,1,08130
1156,0,78.98,4100.00000,0,0,31005
1225,0,151.62,8650.00000,0,1,31006
